Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,26987.0,26872.0,27282.0,27333.0,27381.0,27469.0,27432.0,27296.0,27644.0,27474.0,27434.0,27168.0
2012,27834.0,27582.0,27023.0,27508.0,28054.0,27674.0,27746.0,27600.0,27810.0,27975.0,27545.0,27580.0
2013,27546.0,27584.0,27439.0,27584.0,27715.0,27863.0,28145.0,27896.0,27552.0,27323.0,27379.0,27418.0
2014,27574.0,27379.0,27620.0,27170.0,27105.0,28023.0,28028.0,27814.0,27461.0,27772.0,27696.0,27473.0
2015,27559.0,27389.0,27126.0,27645.0,27355.0,27778.0,27211.0,27062.0,27035.0,27251.0,27295.0,27371.0
2016,27517.0,27827.0,27660.0,27783.0,28008.0,27559.0,27569.0,27208.0,27538.0,27645.0,27892.0,27921.0
2017,27398.0,27502.0,27485.0,27173.0,27475.0,27220.0,27570.0,27512.0,27557.0,27058.0,27175.0,27320.0
2018,27313.0,27521.0,27858.0,27442.0,26977.0,26999.0,27003.0,26857.0,27023.0,27212.0,27013.0,27046.0
2019,26713.0,26845.0,27010.0,26935.0,27070.0,26764.0,26881.0,26959.0,27057.0,26954.0,27032.0,27072.0
2020,27541.0,27792.0,26564.0,19117.0,20819.0,23125.0,23941.0,24896.0,25067.0,26139.0,25373.0,24917.0
2021,24627.0,25109.0,25078.0,25024.0,25202.0,25610.0,25360.0,25783.0,25747.0,25906.0,,
