Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,112248.0,112352.0,112350.0,112222.0,112263.0,112001.0,112193.0,112723.0,112544.0,112923.0,113213.0,113774.0
2012,113755.0,114141.0,115024.0,114371.0,114233.0,114749.0,114575.0,114736.0,115252.0,115570.0,115655.0,115791.0
2013,115653.0,115695.0,115808.0,116014.0,116240.0,116166.0,116201.0,116417.0,116846.0,116352.0,117078.0,117394.0
2014,117468.0,117734.0,117959.0,118433.0,118791.0,118229.0,118426.0,118715.0,119306.0,119787.0,119717.0,120138.0
2015,120452.0,120658.0,120981.0,120813.0,121514.0,121021.0,121642.0,122067.0,121760.0,122094.0,122182.0,122757.0
2016,123036.0,123004.0,123590.0,123214.0,123314.0,123784.0,124076.0,124594.0,124237.0,124109.0,124076.0,124126.0
2017,124573.0,124781.0,125654.0,126042.0,125700.0,126241.0,126126.0,126100.0,126769.0,126604.0,126559.0,126480.0
2018,126915.0,127488.0,127519.0,127906.0,128837.0,128894.0,129272.0,128761.0,129025.0,129176.0,129518.0,129561.0
2019,129573.0,129843.0,129907.0,129834.0,129938.0,130568.0,130851.0,130969.0,131271.0,131512.0,131397.0,131477.0
2020,130741.0,130679.0,129059.0,114325.0,116545.0,119262.0,119962.0,122461.0,122569.0,123646.0,124292.0,124689.0
2021,124990.0,124868.0,125803.0,126161.0,126384.0,126201.0,127466.0,127436.0,128027.0,128306.0,,
