Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec
2011,139250.0,139394.0,139639.0,139586.0,139624.0,139384.0,139524.0,139942.0,140183.0,140368.0,140826.0,140902.0
2012,141584.0,141858.0,142036.0,141899.0,142206.0,142391.0,142292.0,142291.0,143044.0,143431.0,143333.0,143330.0
2013,143292.0,143362.0,143316.0,143635.0,143882.0,143999.0,144264.0,144326.0,144418.0,143537.0,144479.0,144778.0
2014,145150.0,145134.0,145648.0,145667.0,145825.0,146247.0,146399.0,146530.0,146778.0,147427.0,147404.0,147615.0
2015,148145.0,148045.0,148128.0,148511.0,148817.0,148816.0,148830.0,149181.0,148826.0,149246.0,149463.0,150128.0
2016,150653.0,150939.0,151218.0,151074.0,151132.0,151223.0,151554.0,151779.0,151761.0,151793.0,151954.0,152157.0
2017,152150.0,152414.0,153050.0,153274.0,153017.0,153356.0,153612.0,153592.0,154266.0,153633.0,153749.0,153911.0
2018,154495.0,155174.0,155266.0,155363.0,155688.0,155768.0,156186.0,155567.0,155948.0,156306.0,156598.0,156745.0
2019,156625.0,156904.0,156809.0,156741.0,156883.0,157131.0,157617.0,157861.0,158230.0,158356.0,158540.0,158735.0
2020,158659.0,158732.0,155536.0,133370.0,137224.0,142100.0,143777.0,147276.0,147543.0,149669.0,149809.0,149830.0
2021,150031.0,150239.0,150848.0,151176.0,151620.0,151602.0,152645.0,153154.0,153680.0,154039.0,,
